lang	lemma	speech	gloss	marker	deprecated	created_by	source	neo_version
en	Ban²	masc-name					LB/049.0105	
en	Blodrin	masc-name					LB/048.3602	
g	Airin	fem-name					LT2I/Airin.001	
en	Beor	masc-name					LBI/Bëor.001	
en	Eilinel	fem-name					LBI/Eilinel.001	
en	Halog	masc-name					LB/022.2001	
en	Gorlim	masc-name					LBI/Gorlim.001	
g	Gumlin	masc-name					LBI/Gumlin.001	
en	Mailrond	masc-name					LB/119.2002	
g	Peleg	masc-name					LB/145.2609	
en	Fengel	masc-name					LB/145.2710	
g	Tuor	masc-name					GL/23.5201-5	
en	Tuor	masc-name					LBI/Tuor.001	
en	lhui	adj	pale				PE13/149.4701	
g	umbath	n	nightfall		1			
g	umboth	n	nightfall				GL/75.0101	
en	umboth	n	twilight		1		PE13/155.7601	
g	Gimli	masc-name					LT2A/Gimli.001	
g	Laigolas	masc-name	Green-leaf	†			LT1A/Tári-Laisi.055	
g	Legolas	masc-name	Greenleaf				GL/53.1101	
g	Orgof	masc-name					LT2I/Orgof.001	
en	Orgof	masc-name					LBI/Orgof.001	
g	unstressed [wa] became [wo]	phonetic-rule						
g	-sta	suf	verb suffix	#				
g	-tha¹	suf	verb suffix	#			GL/21.0901-2	
en	-tha	suf	causative suffix				PE13/153.7602	
g	Taruithorn	place-name	Oxford				GL/69.3501	
en	Nienor	fem-name	Lamentation				LB/009.0504	
g	[a]	phoneme						
g	[ā]	phoneme					PE15/13.1503	
g	[ai]	phoneme					GG/14.1617	
en	[ai]	phoneme					PE15/64.0602	
g	[ae] became [ai]	phonetic-rule						
g	[ao] became [o]	phonetic-rule						
g	[au]	phoneme					GG/14.1618	
en	[au]	phoneme					PE15/64.0502	
g	[b]	phoneme					GG/07.1204	
en	[b]	phoneme					PE13/120.1101	
g	[d]	phoneme					GG/07.2101	
en	[d]	phoneme					PE13/120.1701	
g	[ð]	phoneme					PE15/12.0905	
g	[ð] became [θ] finally or before a consonant	phonetic-rule						
g	[e]	phoneme						
g	[ē]	phoneme					PE15/13.0608	
g	[ē], [ō] became [ī], [ū]	phonetic-rule						
g	[e] becomes [i] before stressed [i]	phonetic-rule					GL/38.8104	
g	[ei]	phoneme						
en	[ei]	phoneme						
g	[f]	phoneme					PE12/017.2409	
g	[g]	phoneme					GG/07.2301	
en	[g]	phoneme					PE13/120.1901	
g	[gʷ]	phoneme					PE15/12.0604	
g	[h]	phoneme					GG/07.1503	
g	[ɣ]	phoneme		†				
g	intervocalic [x], [ɣ] vanished	phonetic-rule						
g	[i]	phoneme						
g	[ī]	phoneme					GG/14.1615	
en	[ī]	phoneme					PE15/64.1202	
g	[ī], [ū] became [ai], [au]	phonetic-rule						
g	[io]	phoneme						
en	[io]	phoneme					PE15/64.0402	
g	[iu]	phoneme		-			PE15/13.0807	
g	[k]	phoneme					GG/07.1201	
en	[k]	phoneme					PE13/121.0401	
g	[kʷ]	phoneme					PE15/12.0704	
g	[l]	phoneme					PE15/12.1001	
g	[l̥]	phoneme					PE15/12.1003	
g	[ld] became [ll]	phonetic-rule						
g	[lð] became [ld] medially, [l] finally	phonetic-rule						
g	[m]	phoneme					PE15/12.1101	
g	[m̥]	phoneme					PE15/12.1102	
g	[mβ] became [mb]	phonetic-rule						
g	[nd] generally became [nn], while [mb] became [m] finally	phonetic-rule						
g	[n]	phoneme					PE15/12.1104	
g	[n̥]	phoneme					PE15/12.1105	
g	[ŋ]	phoneme					PE15/12.1302	
g	[ŋ̥]	phoneme					PE15/12.1303	
g	[nð] became [nd]	phonetic-rule						
g	[nx] became [nθ]	phonetic-rule						
g	[o]	phoneme						
g	[ō]	phoneme					GG/14.1614	
en	[ou] became [au]	phonetic-rule						
g	[p]	phoneme					GG/07.1801	
en	[p]	phoneme					PE13/121.0201	
g	[r]	phoneme					PE15/12.1002	
g	[r̥]	phoneme					PE15/12.1004	
g	[s]	phoneme					PE15/12.0805	
g	[sm], [sf] became [f]	phonetic-rule						
g	[sβ] became [θw]	phonetic-rule						
g	[t]	phoneme					GG/07.1601	
en	[t]	phoneme					PE13/121.0301	
g	[tl], [dl], [ðl] became [kl], [gl]	phonetic-rule						
g	[θ]	phoneme					PE15/12.0804	
g	[θ], [ð] became [s] before [p], [t], [k], [b] and [s]	phonetic-rule						
g	[u]	phoneme						
g	[ū]	phoneme					GG/14.1616	
en	[ū]	phoneme					PE15/64.2202	
g	[ui]	phoneme					PE15/13.0607	
en	[ui]	phoneme					PE15/64.0302	
g	[v]	phoneme					PE15/12.0901	
g	[w]	phoneme					PE15/12.1202	
en	[w] became [u] after a vowel	phonetic-rule						
g	[wo] became [o]	phonetic-rule						
g	labialized velars became velars before [o], [u]	phonetic-rule						
g	[x]	phoneme					PE15/12.0802	
g	[f], [v] sometimes became [u]	phonetic-rule						
g	[x], [ɣ] sometimes became [i]	phonetic-rule						
g	[xʷ] became [f]	phonetic-rule					PE12/017.2408	
g	[y]	phoneme						
g	[ø]	phoneme						
g	[ǣ] became [ē]	phonetic-rule		-				
g	[ȳ]	phoneme						
g	[ɸ], [β] became [f], [v]	phonetic-rule						
g	-a	suf	genitive suffix				GG/10.1304	
g	-n	suf	genitive suffix				GG/10.1306	
en	a	prep	like		1		MC/217.1703	
g	a-¹	pron	it, they; 3rd-person pronoun				GL/52.6101-1	
g	ar²	conj	and, too, besides				GG/15.2804	
en	ar	conj	*and	-			PE13/128.0705	
g	ob	prep	after, close behind (time and place)		1		GL/61.8501	
g	abair	n	victory		1		GL/17.1809	
g	abont	adv	back; backwards				GL/17.3101	
g	nôn	n	tomorrow, the next day on from one mentioned or in thought, the morrow		1		GL/61.1801	
g	obra	adj	close behind (of place), following, succeeding, next behind or after (time or place)		1		GL/61.8601	
g	ach	adv	too, *excessively				GL/17.3201	
g	bodruith	n	revenge	-			GL/23.6301	
g	hadruith	n	revenge		1		GL/47.5601	
en	bodruith	n	revenge		1		PE13/139.4601	
g	active participle	grammar						
en	active participle	grammar						
g	a(d)	prep	into		1		GL/17.2001	
g	ada	n	daddy					
g	adi	n	daddy					
g	(n)adi	n	father, daddy					
g	(n)ada	n	daddy, father		1		GL/17.3901	
g	bad¹	n	building, outhouse, shed		1		GL/21.1401	
en	adob	n	building		1		PE13/132.0404	
en	adab-	vb	to build, establish		1			
g	bada-	vb	to build		1		GL/21.1201	
en	adag-	vb	to build, erect, establish		1		PE13/132.0401	
g	ador	n	father	†	1		GL/17.3801	
g	nathon	n	father				GL/17.4101	
g	adjectives	grammar					GG/15.1401	
en	adjectives	grammar					PE13/123.0101	
en	tleth	adj	sloping, slanting, leaning		1		PE13/165.5201	
