lang	lemma	speech	gloss	marker	deprecated	created_by	source	neo_version
eq	heruni	n	lady		1		QL/040.2701	
eq	intervocalic [ŋ], [ŋʷ] became [ŋg], [ŋgʷ]	phonetic-rule						
q	[?it/itē] kestallen, tuluvanye	phrase	if you ask me, I shall come				PE22/138.3214	
eq	[a]	phoneme					PE12/009.1501	
mq	[a]	phoneme					PE21/06.2701	
q	[a]	phoneme					LotR/1115.2512	
eq	[ā]	phoneme					PE12/009.2101	
mq	[ā]	phoneme					PE12/009.2101	
q	[ā]	phoneme					PE12/009.2101	
eq	[ae], [ao] generally became [ā]	phonetic-rule					PE12/014.1400	
mq	[ae], [ao] generally became [ē], [ō]	phonetic-rule					PE19/063.1511	
q	[ae], [ao] generally became [ē], [ō]	phonetic-rule					PE19/063.1511	
eq	[ai]	phoneme					PE12/012.1409	
mq	[ai]	phoneme					Ety/WEY.009	
q	[ai]	phoneme					LotR/1116.1912	
mq	[-ai] became [-e]	phonetic-rule						
q	[-ai] became [-e]	phonetic-rule						
eq	[aie] became [aije]	phonetic-rule					PE12/012.14015	
eq	[au]	phoneme					PE12/012.2018	
mq	[au]	phoneme					PE19/025.05125	
q	[au]	phoneme	aw				LotR/1116.2108	
eq	[b]	phoneme					PE12/016.2009	
mq	[b]	phoneme					PE22/065.1104	
q	[b]	phoneme					PE22/065.1104	
eq	[d]	phoneme					PE12/016.2008	
mq	[d]	phoneme					PE19/051.3004	
q	[d]	phoneme					PE19/051.3004	
eq	[dʲ] became [j]	phonetic-rule						
mq	[d] vanished between [n], [r], [l] and [j]	phonetic-rule					PE19/046.0408	
q	[d] vanished between [n], [r], [l] and [j]	phonetic-rule					PE19/082.0418	
eq	[ð]	phoneme		†			PE12/016.2106	
eq	[ð] became [θ] before voiceless stops and [s]	phonetic-rule					PE12/024.1701	
eq	[ðθ] became [θθ]	phonetic-rule					PE12/019.2511	
eq	[ðʲ]	phoneme		†			PE12/016.2105	
eq	[ðʲ] became [j]	phonetic-rule					PE12/013.2801	
eq	[ðʲi] became [ī] and [ɣʷu] became [ū]	phonetic-rule					PE12/012.0116	
eq	[dʲ]	phoneme					PE12/016.2007	
mq	[dʲ]	phoneme					PE22/065.1106	
q	[dʲ]	phoneme					PE22/065.1106	
eq	[e]	phoneme					PE12/009.0201	
mq	[e]	phoneme					PE12/009.0201	
q	[e]	phoneme					LotR/1115.2511	
eq	[ē]	phoneme					PE12/009.1301	
mq	[ē]	phoneme					PE12/009.1301	
q	[ē]	phoneme					LotR/1115.2905	
eq	[ǝ] assimilated to preceding vowel	phonetic-rule						
eq	[ei], [ou] became [ai], [au]	phonetic-rule						
mq	[ei], [ou] generally became [ī], [ū]	phonetic-rule					Ety/WEY.005	
q	[ei], [ou] generally became [ī], [ū]	phonetic-rule					PE19/106.1901	
eq	[ei] became [e] before [a], [o] or [u], but [i] before [e]	phonetic-rule					PE12/011.2202-3	
eq	[eu]	phoneme					PE12/012.1416	
mq	[eu]	phoneme					PE12/012.1416	
q	[eu]	phoneme					LotR/1116.2311	
eq	[eu], [iu] became [euw], [iuw] before unstressed vowel, [ew], [iw] before stressed vowel	phonetic-rule					PE12/012.2201	
eq	[f]	phoneme					PE12/016.2208	
eq	[ɸ]	phoneme		†			PE12/021.0201	
mq	[f]	phoneme					Ety/ÓLOS.008	
q	[f]	phoneme					PE17/092.3215	
eq	[f] became [v] except before stressed vowel	phonetic-rule					PE12/020.3102	
eq	[g]	phoneme					PE12/016.2006	
mq	[g]	phoneme					PE22/065.1107	
q	[g]	phoneme					PE19/081.2413	
eq	[gʷ]	phoneme					PE12/016.2004	
mq	[gʷ]	phoneme					PE22/065.1108	
q	[gʷ]	phoneme					PE22/065.1108	
eq	[h]	phoneme					PE12/016.2205	
mq	[h]	phoneme					PE19/037.3201	
q	[h]	phoneme					LotR/1113.3201	
eq	[ɣ]	phoneme		†			PE12/016.2104	
eq	[ɣ] otherwise vanished	phonetic-rule					PE12/018.0702	
mq	[ɣ] from [g] vanished	phonetic-rule					PE19/032.1305	
q	[ɣ] from [g] vanished	phonetic-rule					Let/410.1009	
eq	[ɣʷ]	phoneme		†			PE12/016.2102	
eq	[ɣʷ] became [w]	phonetic-rule					PE12/014.0101	
eq	[i]	phoneme					PE12/008.0401	
mq	[i]	phoneme					EtyAC/LA.027	
q	[i]	phoneme					LotR/1115.2510	
eq	[ī]	phoneme					PE12/008.1801	
mq	[ī]	phoneme					PE19/025.0508	
q	[ī]	phoneme					VT48/07.3607	
eq	[ij], [uw] became [i], [u]	phonetic-rule					PE12/012.0102	
mq	[ij], [uw] became [i], [u]	phonetic-rule					PE12/012.0102	
q	[ij], [uw] became [i], [u]	phonetic-rule					PE12/012.0102	
eq	[iu]	phoneme					PE12/012.2207	
mq	[iu]	phoneme					PE12/012.2207	
q	[iu]	phoneme					LotR/1116.4204	
eq	[j]	phoneme					PE12/013.0902	
mq	[j]	phoneme					PE19/038.0801	
q	[j]	phoneme					LotR/1114.4701	
eq	[j], [w] became [i], [u] after a vowel	phonetic-rule					PE12/012.0601	
eq	[ai] became [e] before unstressed [a], [o] or [u], but [aj] before stressed [a], [o] or [u]	phonetic-rule					PE12/011.2202-1	
eq	[au] became [o] before unstressed vowel, but [aw] before stressed vowel	phonetic-rule					PE12/011.2202-2	
eq	[ou] became [u] before [e] and [o], but [o] before [i] and [a]	phonetic-rule					PE12/011.2202-4	
eq	[jǝ], [wǝ] became [je], [wo] after a vowel	phonetic-rule						
mq	[ji], [wu] became [i], [u]	phonetic-rule						
q	[ji], [wu] became [i], [u]	phonetic-rule						
eq	[ji], [wu] became [i], [u] after a vowel	phonetic-rule						
eq	[j̊]	phoneme					PE12/016.4202	
eq	[sʲ]	phoneme		†			PE12/016.2206	
mq	[j̊]	phoneme					PE19/034.0902	
q	[j̊]	phoneme					LotR/1114.4807	
eq	[k]	phoneme					PE12/016.1905	
mq	[k]	phoneme					PE19/037.2901	
q	[k]	phoneme					LotR/1113.1801	
eq	[kw] became [kʷ]	phonetic-rule					PE12/022.1401	
eq	[kʷ]	phoneme					PE12/016.1903	
mq	[kʷ]	phoneme					PE19/035.1301	
q	[kʷ]	phoneme					LotR/1114.2301	
eq	[kʷkʷ] became [kʷ]	phonetic-rule					PE12/022.0101	
eq	[l]	phoneme					PE12/016.3102	
mq	[l]	phoneme					PE19/038.0901	
q	[l]	phoneme					LotR/1114.0701	
mq	[l̥]	phoneme					PE19/038.1101	
q	[l̥]	phoneme		†			LotR/1114.1111	
eq	[rg] became [rk]	phonetic-rule						
mq	[lg], [rg] became [ll], [rr]	phonetic-rule					PE19/046.0604	
q	[lɣ], [rɣ] became [ll], [rr]	phonetic-rule					PE19/093.2907	
eq	[m]	phoneme					PE12/016.2508	
mq	[m]	phoneme					PE19/038.0301	
q	[m]	phoneme					PE17/104.0510	
eq	[mn] became [nm]	phonetic-rule						
eq	[mw] became [nw]	phonetic-rule						
eq	[n]	phoneme					PE12/016.2505	
mq	[n]	phoneme					PE19/038.0401	
q	[n]	phoneme					PE17/092.3003	
eq	[ŋ]	phoneme					PE12/024.0503	
mq	[ŋ]	phoneme					PE19/038.0501	
q	[ŋ]	phoneme					LotR/1114.1301	
mq	[ŋn] assimilated to following [n] after [e], [a], [o]	phonetic-rule					PE19/043.1101	
q	[ŋ] assimilated to following [n] after [e], [a], [o]	phonetic-rule					PE19/096.3908	
mq	[ŋ] vanished between [i], [u] and [n] with compensatory lengthening	phonetic-rule					PE19/043.1501	
q	[ŋ] vanished between [i], [u] and [n] with compensatory lengthening	phonetic-rule					PE19/082.0700	
eq	[ndj] became [nj] in Inwelin	phonetic-rule					PE14/060.0803	
eq	medial nasal plus [w] became [ŋgw]	phonetic-rule					PE12/023.3100	
mq	[nm], [ŋm] became [nw], [ŋgw]	phonetic-rule					PE19/043.0801	
q	[nm], [ŋm] became [nw], [ŋgw]	phonetic-rule					PE17/044.4304	
eq	[nʲ]	phoneme					PE12/016.2506	
mq	[nʲ]	phoneme					PE19/038.1701	
q	[nʲ]	phoneme					PE19/080.3506	
eq	[ŋʷ]	phoneme					PE12/016.2503	
mq	[ŋʷ]	phoneme					PE19/038.1901	
q	[ŋʷ]	phoneme					PE18/105.0502	
eq	[o]	phoneme					PE12/009.2401	
mq	[o]	phoneme					PE12/009.2401	
q	[o]	phoneme					LotR/1115.2513	
eq	[ō]	phoneme					PE12/009.2402	
mq	[ō]	phoneme					PE12/009.2402	
q	[ō]	phoneme					LotR/1115.2907	
eq	[oe] became [oa]	phonetic-rule					PE12/014.1800	
eq	[oi]	phoneme					PE12/012.1706	
mq	[oi]	phoneme					PE12/012.1706	
q	[oi]	phoneme					LotR/1116.2001	
eq	[oi], [ui] became [oij], [uij] before unstressed vowel, [oj], [uj] before stressed vowel	phonetic-rule					PE12/012.1701	
eq	[p]	phoneme					PE12/016.1908	
mq	[p]	phoneme					PE19/037.2701	
q	[p]	phoneme					PE18/091.0716	
eq	[pp] became [pt]	phonetic-rule					PE12/023.1701	
eq	[kt] became [xt]	phonetic-rule						
mq	[pt], [kt] became [ps], [xt]	phonetic-rule					PE19/039.0802	
q	[pt], [kt] became [ɸt], [xt]	phonetic-rule					PE19/082.2002	
mq	[pw] became [pp]	phonetic-rule						
q	[pw] became [pp]	phonetic-rule					PE22/150.0604	
eq	[pw] became [tw]	phonetic-rule					PE12/023.1904	
eq	[r]	phoneme					PE12/016.2107	
mq	[r]	phoneme					PE19/038.1001	
q	[r]	phoneme					LotR/1114.2501	
mq	[r̥]	phoneme					PE19/038.1201	
q	[r̥]	phoneme					LotR/1114.2904	
eq	short syllabic [ḷ] became [il], or [ul] before labials	phonetic-rule					PE12/011.0901	
eq	short syllabic [ṛ] became [ar], [ir] before palatalized consonants or [ur] after [w] and [kʷ]	phonetic-rule					PE12/011.1001	
eq	[r] dissimilated to [l]	phonetic-rule						
mq	[rs] became [ss]	phonetic-rule					PE19/045.0101	
q	[rs] became [ss]	phonetic-rule					PE17/071.4410	
eq	[s]	phoneme					PE12/016.2207	
mq	[s]	phoneme					PE19/037.3107	
q	[s]	phoneme					Let/425.4217	
eq	[sf] became [ff]	phonetic-rule					PE12/021.0216	
mq	[sf] became [f]	phonetic-rule					PE12/021.0216	
q	[sf] became [f]	phonetic-rule					PE12/021.0216	
eq	[sp] became [ps], [sk] sometimes [ks]	phonetic-rule					PE12/019.2901	
mq	[sp], [sk] became [ps], [ks]	phonetic-rule					PE19/036.3107	
