lang	lemma	speech	gloss	marker	deprecated	created_by	source	neo_version
n	Airin	fem-name					LRI/Airin.001	
n	Beor	masc-name					Ety/BEW.016	
n	Eilinel	fem-name					LRI/Eilinel.001	
n	Gethron	masc-name					LR/151.2603	
n	Gorlim	masc-name					LRI/Gorlim.001	
n	Grithron	masc-name					LR/151.2605	
n	Haleth	masc-name					EtyAC/KHAL².029	
n	Handir	masc-name					Ety/KHAN.034	
n	Hundor	masc-name					Ety/KHŌ-N.009	
n	Huor	masc-name	heart-vigour, courage				Ety/GOR.040	
n	Tuor	masc-name	strength-vigour				Ety/GOR.041	
n	caras	n	a city (built above ground)				Ety/KAR.062	
s	caras	n	city, fort or dwelling surrounded by bulwarks, circular earthwall with dike				PE17/060.0607-1	
n	Palath-ledin	place-name	Gladden Fields				TI/114.0703	
s	Loeg Ningloron	place-name	Gladden Fields					
s	Finvain	fem-name					MRI/Finvain.001	
n	Faragon	masc-name					WR/281.3609	
n	[a]	phoneme						
s	[a]	phoneme					LotR/1115.2512-1	
n	[ā]	phoneme					PE15/13.1503	
s	[ā]	phoneme					LotR/1115.2705	
n	[ae]	phoneme					PE19/025.1103	
s	[ae]	phoneme					LotR/1116.2309	
n	[ai]	phoneme					PE15/64.0602	
s	[ai]	phoneme					LotR/1116.1912-1	
n	[ai] became [oe] or [ae]	phonetic-rule					PE22/031.1102	
s	[ai], [oi] became [ae], [oe]	phonetic-rule					PE22/031.1102	
n	[ai] revised to [ae]	phonetics						
n	[au]	phoneme					PE19/025.1104	
s	[au]	phoneme	aw				LotR/1116.2108-1	
n	[au], [ae] became [o], [e] in polysyllables	phonetic-rule					PE22/031.1414	
s	[au], [ae] became [o], [e] in polysyllables	phonetic-rule					WJ/367.0103	
s	[awa] sometimes became [au]	phonetic-rule						
n	[b]	phoneme					PE19/018.2707	
s	[b]	phoneme					PE17/104.1610	
n	[d]	phoneme					PE19/018.2807	
s	[d]	phoneme					PE19/018.2807	
n	[ð]	phoneme					PE19/023.1606	
s	[ð]	phoneme					LotR/1113.2501	
n	[ð] vanished before nasals	phonetic-rule						
s	[ð] vanished before nasals at morpheme boundaries	phonetic-rule						
s	[ðv] became [ðw]	phonetic-rule					VT42/26.06035	
n	[e]	phoneme						
s	[e]	phoneme					LotR/1115.2511-1	
n	[ē]	phoneme					PE15/13.0608	
s	[ē]	phoneme					LotR/1115.2704	
s	[ē], [ō] became [ī], [ū]	phonetic-rule					PE18/096.2115-1	
n	[ei]	phoneme						
s	[ei]	phoneme					LotR/1116.1913	
n	[ei] sometimes became [e] in unstressed final syllables	phonetic-rule					PE22/039.0309	
s	[eu]	phoneme						
n	[f]	phoneme					PE19/018.2207	
s	[f]	phoneme					LotR/1114.1701	
n	[g]	phoneme					PE19/018.2907	
s	[g]	phoneme					LotR/1113.3001	
n	[h]	phoneme					PE19/020.2006	
s	[h]	phoneme					LotR/1113.2205	
n	[h] vanished after vowels	phonetic-rule					EtyAC/NDIS.053	
s	[h] vanished after vowels	phonetic-rule					EtyAC/NDIS.053	
n	[ɣ]	phoneme		†			PE19/023.1806	
s	[ɣ]	phoneme		†			VT42/26.0612	
n	[ɣ] became [i] between sonants and vowels	phonetic-rule						
s	[ɣ] became [i] between sonants and vowels	phonetic-rule						
n	[ɣ] otherwise vanished	phonetic-rule					PE22/031.2006	
